Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace,Avg Speed (mi/h),Max Speed,Avg Heart Rate,Steps,Notes,Source,Link
x,16-Sep-17,x,x,3.1,19.55,6.3,x,x,x,,x,,,http://www.mapmyrun.com/workout/2467538360
x,6-Oct-17,x,x,3.11,1198,6.416666667,x,x,x,,x,,,http://www.mapmyrun.com/workout/2508593210
x,14-Oct-17,x,x,3.09,1197,6.466666667,x,x,x,,x,,,http://www.mapmyrun.com/workout/2522643863
"Jan. 19, 2017","Jan. 16, 2017",Run,383,3.5029,1897,9.03111,0,6.6437,0,,5635,,,http://www.mapmyrun.com/workout/1962381719
"Jan. 19, 2017","Jan. 16, 2017",Run,480,4.38283,2564,9.7536,0,6.15157,0,,6983,,,http://www.mapmyrun.com/workout/1962381644
"Jan. 19, 2017","Jan. 7, 2017",Run,915,8.20268,5271,10.729,0,5.59234,0,,14603,,,http://www.mapmyrun.com/workout/1962381524
"Jan. 19, 2017","Jan. 6, 2017",Run,473,4.40171,2210,8.35589,0,7.18057,0,,6479,,,http://www.mapmyrun.com/workout/1962381179
"Jan. 19, 2017","Jan. 3, 2017",Run,462,4.39647,2258,8.56946,0,7.00161,0,,6696,,,http://www.mapmyrun.com/workout/1962381071
"Jan. 19, 2017","Jan. 1, 2017",Run,855,7.76126,4691,10.0836,0,5.95025,0,,13388,,,http://www.mapmyrun.com/workout/1962380975
"Jan. 19, 2017","Dec. 29, 2016",Run,1144,10.3319,6066,9.7892,0,6.12921,0,,17187,,,http://www.mapmyrun.com/workout/1962380681
"Dec. 23, 2016","Dec. 23, 2016",Run,1162,10.3852,6211,9.97115,0,6.01736,0,,18042,,,http://www.mapmyrun.com/workout/1919470568
"Dec. 23, 2016","Dec. 20, 2016",Run,855,7.8308,4850,10.3163,0,5.81603,0,,13489,,,http://www.mapmyrun.com/workout/1919470520
"Dec. 23, 2016","Dec. 19, 2016",Run,516,4.72614,2628,9.28111,0,6.46475,0,,7715,,,http://www.mapmyrun.com/workout/1919470454
"Dec. 23, 2016","Dec. 17, 2016",Run,881,8.00335,4809,10.0084,0,5.99499,0,,13881,,,http://www.mapmyrun.com/workout/1919470409
"Dec. 23, 2016","Dec. 17, 2016",Run,0,0.000279617,2,121.92,0,0.492126,0,,2,,,http://www.mapmyrun.com/workout/1919470403
"Dec. 23, 2016","Dec. 11, 2016",Run,994,8.99968,5522,10.2376,0,5.86077,0,,15634,,,http://www.mapmyrun.com/workout/1919470367
"Dec. 23, 2016","Nov. 27, 2016",Run,925,8.82806,5120,9.68318,0,6.19631,0,,14103,,,http://www.mapmyrun.com/workout/1919470274
"Dec. 23, 2016","Nov. 24, 2016",Run,448,4.35293,2082,7.98286,0,7.51611,0,,6368,,,http://www.mapmyrun.com/workout/1919470178
"Dec. 23, 2016","Nov. 20, 2016",Run,910,8.0755,5110,10.56,0,5.68182,0,,14866,,,http://www.mapmyrun.com/workout/1919470166
"Dec. 23, 2016","Nov. 13, 2016",Run,1150,10.4417,5595,8.9408,0,6.71081,0,,16417,,,http://www.mapmyrun.com/workout/1919470130
"Nov. 5, 2016","Nov. 5, 2016",Run,1428,13.1344,6640,8.43472,0,7.11346,0,,19729,,,http://www.mapmyrun.com/workout/1851284570
"Nov. 1, 2016","Nov. 1, 2016",Run,464,4.28929,2327,9.03111,0,6.6437,0,,6913,,,http://www.mapmyrun.com/workout/1844571356
"Oct. 29, 2016","Oct. 29, 2016",Run,1207,10.5336,6899,10.9034,0,5.50286,0,,18972,,,http://www.mapmyrun.com/workout/1839074402
"Oct. 25, 2016","Oct. 25, 2016",Run,464,4.37465,2190,8.35589,0,7.18057,0,,6299,,,http://www.mapmyrun.com/workout/1832291936
"Oct. 25, 2016","Oct. 23, 2016",Run,907,8.11464,5081,10.4367,0,5.74893,0,,13793,,,http://www.mapmyrun.com/workout/1832291912
"Oct. 25, 2016","Oct. 21, 2016",Run,479,4.39802,2311,8.76549,0,6.84503,0,,6607,,,http://www.mapmyrun.com/workout/1832291825
"Oct. 25, 2016","Oct. 19, 2016",Run,482,4.36965,2571,9.7892,0,6.12921,0,,7427,,,http://www.mapmyrun.com/workout/1832291771
"Oct. 25, 2016","Oct. 16, 2016",Run,554,5.10719,3000,9.7892,0,6.12921,0,,8879,,,http://www.mapmyrun.com/workout/1832291741
"Oct. 25, 2016","Oct. 14, 2016",Run,373,3.3044,2245,11.3175,0,5.30154,0,,6549,,,http://www.mapmyrun.com/workout/1832291567
"Sept. 5, 2016","Sept. 5, 2016",Run,1353,13.0835,5840,7.43003,0,8.07534,0,,17729,,,http://www.mapmyrun.com/workout/1728825173
"Sept. 3, 2016","Aug. 31, 2016",Run,623,5.7551,3038,8.79423,0,6.82266,0,,8546,,,http://www.mapmyrun.com/workout/1724077499
"Sept. 3, 2016","Aug. 30, 2016",Run,469,4.24362,2636,10.3561,0,5.79366,0,,6886,,,http://www.mapmyrun.com/workout/1724077337
"Aug. 28, 2016","Aug. 28, 2016",Run,1310,13.0985,5296,6.7393,0,8.90301,0,,16156,,,http://www.mapmyrun.com/workout/1709491742
